Date,NoDur,Manuf,BusEq,Shops,Hlth,Benchmark
1926-07-01,0.014400,0.036700,0.031500,0.001200,0.018500,0.020460
1926-08-01,0.039900,0.024100,0.019800,-0.007200,0.041700,0.023660
1926-09-01,0.011500,-0.000700,-0.003500,0.002100,0.006900,0.003260
1926-10-01,-0.012400,-0.031800,-0.053800,-0.022900,-0.005700,-0.025320
1926-11-01,0.052100,0.040300,0.047900,0.064500,0.054300,0.051820
1926-12-01,0.008000,0.035300,-0.018000,0.006200,0.000900,0.006480
1927-01-01,-0.006500,-0.003600,-0.007700,-0.025400,0.050700,0.001500
1927-02-01,0.033600,0.046100,0.046000,0.036200,0.017100,0.035800
1927-03-01,0.027700,0.003500,0.005700,-0.004600,0.010100,0.008480
1927-04-01,0.035100,0.001700,0.062000,0.044800,0.027400,0.034200
1927-05-01,0.083000,0.054100,0.077100,0.023400,0.041300,0.055780
1927-06-01,-0.019700,-0.026300,0.029000,-0.006100,0.005400,-0.003540
1927-07-01,0.048400,0.101100,0.135700,0.098600,0.098400,0.096440
1927-08-01,0.027300,0.032100,0.065000,0.073500,0.002700,0.040120
1927-09-01,0.052700,0.038900,0.008600,0.075000,0.056600,0.046360
1927-10-01,-0.006400,-0.066800,-0.071600,-0.049400,0.051400,-0.028560
1927-11-01,0.063200,0.113800,0.111400,0.116900,0.036800,0.088420
1927-12-01,0.025000,0.037300,0.021400,-0.006800,-0.004700,0.014440
1928-01-01,0.004700,-0.005900,-0.004400,-0.008800,0.027000,0.002520
1928-02-01,-0.039700,-0.026200,-0.008400,-0.011200,-0.034400,-0.023980
1928-03-01,0.044000,0.064500,0.224700,0.084700,0.099400,0.103460
1928-04-01,-0.004800,0.020300,0.023100,0.000200,0.023500,0.012460
1928-05-01,0.009000,0.039700,0.016900,0.038100,0.093000,0.039340
1928-06-01,-0.044000,-0.055900,-0.053200,-0.034000,-0.031200,-0.043660
1928-07-01,0.016800,0.021500,-0.000300,0.054500,0.024000,0.023300
1928-08-01,0.061100,0.081800,0.111800,0.135600,0.147200,0.107500
1928-09-01,0.011700,0.036300,0.013000,0.001600,-0.011400,0.010240
1928-10-01,0.009000,0.039200,0.019800,0.058900,0.000500,0.025480
1928-11-01,0.065900,0.127500,0.216900,0.153100,0.050500,0.122780
1928-12-01,-0.003100,0.033200,0.082800,-0.013200,-0.004600,0.019020
1929-01-01,0.032200,0.070800,0.115400,-0.038800,0.034100,0.042740
1929-02-01,-0.025400,0.048300,-0.013900,-0.024100,0.000400,-0.002940
1929-03-01,-0.046600,-0.012900,0.056400,-0.051300,-0.015000,-0.013880
1929-04-01,0.017800,0.017800,0.019100,0.037600,0.014800,0.021420
