Date,NoDur,Manuf,BusEq,Shops,Hlth,Benchmark
2023-03-01,0.0317,-0.0017,0.1057,0.0339,0.0249,0.0389
2023-04-01,0.0317,-0.0202,0.0027,0.0224,0.0412,0.01556
2023-05-01,-0.0542,-0.0415,0.0857,0.0052,-0.0366,-0.00828
2023-06-01,0.0285,0.1157,0.0587,0.0783,0.0466,0.06556
2023-07-01,0.023,0.0378,0.0424,0.0226,-0.0012,0.02492
2023-08-01,-0.0378,-0.0221,-0.0163,-0.0039,-0.0023,-0.01648
2023-09-01,-0.046,-0.073,-0.0599,-0.0566,-0.047,-0.0565
2023-10-01,-0.0369,-0.0291,-0.0173,0.004,-0.0459,-0.02504
2023-11-01,0.0494,0.0972,0.1205,0.0717,0.058,0.07936
2023-12-01,0.0357,0.0776,0.0458,0.059,0.0691,0.05744
2024-01-01,-0.0194,-0.0183,0.0317,0.0124,0.0352,0.00832
2024-02-01,0.0169,0.062,0.0618,0.0948,0.0463,0.05636
2024-03-01,0.0296,0.047,0.0236,0.0268,0.0219,0.02978
2024-04-01,-0.0136,-0.0417,-0.0438,-0.0473,-0.0587,-0.04102
2024-05-01,0.0096,0.0359,0.0817,0.0247,0.032,0.03678
2024-06-01,-0.021,-0.0186,0.0761,0.0353,0.0293,0.02022
2024-07-01,0.0477,0.0419,-0.018,0.0054,0.0083,0.01706
2024-08-01,0.041,0.0037,0.0136,0.0136,0.0641,0.0272
2024-09-01,0.0098,0.027,0.03,0.0367,-0.0184,0.01702
2024-10-01,-0.0259,-0.0366,-0.0018,-0.0114,-0.0315,-0.02144
2024-11-01,0.0153,0.069,0.0497,0.0996,-0.0051,0.0457
2024-12-01,-0.0504,-0.076,0.0145,-0.0187,-0.0538,-0.03688
2025-01-01,0.0066,0.047,0.0027,0.0673,0.0635,0.03742
2025-02-01,0.0553,-0.0301,-0.0393,-0.0374,0.035,-0.0033
2025-03-01,0.0041,-0.0506,-0.0915,-0.0736,-0.0416,-0.05064
2025-04-01,-0.006,-0.0143,0.0116,0.0095,-0.0066,-0.00116
2025-05-01,0.0122,0.0821,0.1071,0.0557,-0.0395,0.04352
2025-06-01,-0.0074,0.0619,0.0908,0.0241,0.0201,0.0379
2025-07-01,-0.0188,0.0362,0.0563,0.0218,-0.0128,0.01654
2025-08-01,0.0305,0.0048,0.0094,0.0082,0.0473,0.02004
2025-09-01,-0.0306,0.0487,0.0709,-0.0115,0.0203,0.01956
2025-10-01,-0.0335,0.0442,0.0557,0.0174,0.0428,0.02532
2025-11-01,0.0526,-0.0084,-0.0256,0.0028,0.1086,0.026
2025-12-01,-0.0086,0.025,-0.0063,-0.0132,-0.0153,-0.00368
2026-01-01,0.07,0.111,-0.0085,0.05,0.0052,0.04554
2026-02-01,0.0711,0.0705,-0.0486,-0.0178,0.0463,0.0243
